PROT	NVAR	NWEI	SCORE
no_pilot	0	0	1.0
pilot_32	0	0	1.0
pilot_32	0	0.01	0.9959778468323978
pilot_32	0	0.05	0.9906776263031275
pilot_32	0	0.1	0.9895123295910184
pilot_16	0	0	0.4984713311948677
pilot_16	0	0.01	0.4985715717722534
pilot_16	0	0.05	0.4965667602245389
pilot_16	0	0.1	0.4954515838011227
pilot_8	0	0	0.4984713311948677
pilot_8	0	0.01	0.4976694065757819
pilot_8	0	0.05	0.4964414595028067
pilot_8	0	0.1	0.4955894145950281
